@file,1,DDJ-GRV6
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
PAD8_HotCue+Shift,PAD8.HotCue+Shift,Pad,9007,8,10,12,14,9007,8,10,12,14,Fast,Delete HOT CUE8
FXPartSelectDrumsOn,,Button,9717,,,,,9717,,,,,,FX PART SELECT DRUMS
FXPartSelectDrumsOn,,Button,9917,,,,,9917,,,,,,FX PART SELECT DRUMS
FXPartSelectDrumsOn,,Button,9B17,,,,,9B17,,,,,,FX PART SELECT DRUMS
FXPartSelectDrumsOn,,Button,9D17,,,,,9D17,,,,,,FX PART SELECT DRUMS
#,,Pad,9017,8,10,12,14,9017,8,10,12,14,Fast,No function assigned here
PAD8_BeatJump,PAD8.BeatJump,Pad,9027,7,9,11,13,9027,7,9,11,13,Fast,BEAT JUMP (FWD4)
Parameter1Right_BeatJump,PAD8.BeatJump+Shift,Pad,9027,8,10,12,14,9027,8,10,12,14,,
PAD8_Sampler,PAD8_Sampler,Pad,9037,7,9,11,13,9037,7,9,11,13,Fast,Sample Slot8 play
PAD8_Sampler+Shift,PAD8_Sampler+Shift,Pad,9037,8,10,12,14,9037,8,10,12,14,Fast,Sample Slot8 stop
PAD8_Keyboard,PAD8_Keyboard,Pad,9047,7,9,11,13,9047,7,9,11,13,Fast,
Parameter1Right_Keyboard,PAD8_Keyboard+Shift,Pad,9047,8,10,12,14,9047,8,10,12,14,Fast,
PAD8_PadFx1,PAD8_PadFx1,Pad,9057,7,9,11,13,9057,7,9,11,13,Fast,PAD FX1 Slot8 (momentary)
PAD16_PadFx1,PAD8_PadFx1+Shift,Pad,9057,8,10,12,14,9057,8,10,12,14,Fast,PAD FX1 Slot16 (momentary)
PAD12_BeatLoop,PAD8_BeatLoop,Pad,9067,7,9,11,13,9067,7,9,11,13,Fast,
#,PAD8_BeatLoop+Shift,Pad,9067,8,10,12,14,9067,8,10,12,14,Fast,No function assigned here
PAD8_KeyShift,PAD8_KeyShift,Pad,9077,7,9,11,13,9077,7,9,11,13,Fast,
Parameter1Right_KeyShift,PAD8_KeyShift+Shift,Pad,9077,8,10,12,14,9077,8,10,12,14,Fast,
,,,,,,,,,,,,,,
HotCue,HotCueMode,Button,901B,0,1,2,3,901B,0,1,2,3,Fast,HOT CUE Mode On/Off
Keyboard,HotCue+Shift,Button,9069,0,1,2,3,9069,0,1,2,3,Fast,KEYBOARD Mode On/Off
Stems,,Button,901E,0,1,2,3,901E,0,1,2,3,Fast,STEMS Mode On/Off
PadFx1,,Button,906B,0,1,2,3,906B,0,1,2,3,Fast,PAD FX Mode On/Off
BeatJump,BeatJump,Button,9020,0,1,2,3,9020,0,1,2,3,Fast,BEAT JUMP Mode On/Off
BeatLoop,BeatJump+Shift,Button,906D,0,1,2,3,906D,0,1,2,3,Fast,BEAT LOOP Mode On/Off
Sampler,SamplerMode,Button,9022,0,1,2,3,9022,0,1,2,3,Fast,SAMPLER Mode On/Off
KeyShift,Sampler+Shift,Button,906F,0,1,2,3,906F,0,1,2,3,Fast,KEY SHIFT Mode On/Off
SamplerPanel,Sampler+LongPress,Button,9679,,,,,9679,,,,,,Display SAMPLER panel (Type1-3) -> OFF -> ...(cyclic)
,,,,,,,,,,,,,,
# Others,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# State,,,,,,,,,,,,,,
DeckState,DeckState,Button,903C,0,1,2,3,,,,,,RO,LED State of the DECK 1/2/3/4
DualDeckState13,DualDeckState13,Button,967C,,,,,,,,,,RO,LED State of the DUAL DECK button (Deck1 and Deck3)
DualDeckState24,DualDeckState24,Button,967D,,,,,,,,,,RO,LED State of the DUAL DECK button (Deck2 and Deck4)
FailSafeState,FailSafeState,,967E,,,,,,,,,,RO,State of Fail Safe
,,,,,,,,,,,,,,
# illumination,,,,,,,,,,,,,,
LoadedIndicator,LoadedIndicator,Indicator,,,,,,,9F00,9F01,9F02,9F03,RO;Priority=100,Trigger for Load illumination
JogPlayPauseIndicatorShort,JogPlayPauseIndicatorShort,JogIndicator,,,,,,,BF00,BF01,BF02,BF03,RO;Min=1;Max=72;Priority=100,Playing States for the trigger for JOG illumination
GetLoopActive,LoopState,Indicator,,,,,,,9F04,9F05,9F06,9F07,RO;Priority=100,
SlipStateForFlashing,SlipStateForFlashing,Indicator,,,,,,,9F24,9F25,9F26,9F27,RO,Slip Mode Flashing
CustomPartLayout,CustomLayoutState,Indicator,,,,,,BF0D,,,,,RO;Priority=100,
SlipModeFlashingSetting,SlipModeFlashingSetting,Indicator,,,,,,9F40,,,,,RO;Priority=100,Slip Mode Flashing
SlipButtonFlashingSetting,SlipButtonFlashingSetting,Indicator,,,,,,9F41,,,,,RO;Priority=100,Slip Button Flashing
FaderStartSetting,FaderStartSetting,Indicator,,,,,,9F42,,,,,RO;Priority=100,Fader Start Setting
CrossFaderCutLagSetting,CrossFaderCutLagSetting,Value,,,,,,BF41,,,,,RO;Priority=100,Cross Fader Cut Lag Setting
MicBoothOutputSetting,MicBoothOutputSetting,Value,,,,,,9F4D,,,,,RO;Priority=100,Setting the microphone output of Booth Monitor
DemoModeSetting,DemoModeSetting,Value,BF44,,,,,BF44,,,,,RO;Priority=100,Demo Mode / Screen Saver Setting
AutoStandbySetting,AutoStandbySetting,Value,9F45,,,,,9F45,,,,,RO;Priority=100,Auto Standby Setting
HeadphoneMonoSplitSetting,HeadphoneSplitSetting,Value,,,,,,9F3C,,,,,RO;Priority=100,
MicRecOutSetting,MicRecOutSetting,Value,,,,,,9F3F,,,,,RO;Priority=100,
BackSpinLengthSetting,BackSpinLengthSetting,Indicator,,,,,,BF45,,,,,RO;Priority=100,Back Spin Length Setting
,,,,,,,,,,,,,,
# Parameter,,,,,,,,,,,,,,
JogIndicatorInterval,JogIndicatorInterval,Parameter,FFF1,,,,,,,,,,Value=12,
JogRatency,JogRatency,Parameter,FFF2,,,,,,,,,,Value=4,unused
MidiOutInterval,MidiOutInterval,Parameter,FFF3,,,,,,,,,,Value=2,
